"SCHNO","FULLNAME","SCHLEVEL","ADDRESS","mean_dist3_mi","dens_students_mi2","enroll","enroll_SED","enroll_prog","SED_frac","prog_frac","staff_cc_favorability","staff_participation","family_cc_favorability","family_participation","student_cc_favorability","student_participation","growth_mindset_fav","self_efficacy_fav","self_management_fav","social_awareness_fav","Performance_ELA","Performance_Math","Change_ELA","Change_Math","top3_pct_2324","top3_pct_2425","top3_pct_2325","num2022","sep2022","num2023","sep2023","turnover_mean","prog_cap","pct_cap","fci"
525,"Cobb (Dr William L) ES",2,"2725 California St, San Francisco, CA",0.713686580934162,72.32142857,139,92,105,0.661870503597122,0.755395683453237,94,0.788,NA,0.071,73,0.917,70,52,57,64,-11.2,15,33.8,38.2,0.011,0.01,0.01,16,0,18,2,0.0555555555555556,297,0.468013468013468,0.17
507,"Drew (Dr Charles) College Preparatory Academy ES",2,"50 Pomona St, San Francisco, CA",0.645182283020239,81.33874239,188,124,150,0.659574468085106,0.797872340425532,77,0.75,NA,0.083,53,0.878,68,52,43,54,-97.7,-127.6,-1.3,27.1,0.013,0.013,0.013,14,0,16,2,0.0625,572,0.328671328671329,0.07
521,"El Dorado ES",2,"70 Delta St, San Francisco, CA",0.659728825198405,117.9166667,123,89,105,0.723577235772358,0.853658536585366,61,0.826,98,0.259,72,1,71,53,44,50,-108.8,-137.8,-25,-19.1,0.014,0.008,0.011,11,1,10,1,0.0954545454545455,297,0.414141414141414,0.01
539,"Feinstein (Dianne) ES",2,"2550 25th Ave, San Francisco, CA",0.792190815421081,96.13899614,384,123,170,0.3203125,0.442708333333333,73,0.6,85,0.212,76,0.929,73,62,70,59,-3.4,12.6,-11.7,1.9,0.033,0.028,0.031,25,1,26,1,0.0392307692307692,418,0.91866028708134,0.27
680,"Flynn (Leonard R) ES",2,"3125 Cesar Chavez St, San Francisco, CA",0.565965561431466,138.1974249,384,228,341,0.59375,0.888020833333333,67,0.623,85,0.203,72,0.648,61,47,59,54,-55.3,-82.8,-3.4,2,0.031,0.036,0.034,36,3,36,2,0.0694444444444444,572,0.671328671328671,0.35
562,"Garfield ES",2,"420 Filbert St, San Francisco, CA",0.405333316671724,72.36842105,191,99,161,0.518324607329843,0.842931937172775,86,0.903,100,0.201,67,0.833,66,54,64,52,2.6,-2.1,-13.2,-6.4,0.014,0.017,0.016,19,1,18,0,0.0263157894736842,297,0.643097643097643,0.07
575,"Glen Park ES",2,"151 Lippard Ave, San Francisco, CA",0.672121584573505,52.88461538,323,199,240,0.61609907120743,0.743034055727554,79,0.7,95,0.312,59,0.958,63,49,55,53,-33.3,-40.1,-11.3,-1.9,0.033,0.03,0.031,22,0,24,2,0.0416666666666667,418,0.772727272727273,0.27
589,"Grattan ES",2,"165 Grattan St, San Francisco, CA",0.681338421711315,52.66272189,384,58,105,0.151041666666667,0.2734375,85,0.559,96,0.102,74,0.893,69,62,70,58,44.6,38.3,-7.8,1.4,0.044,0.044,0.044,30,1,26,0,0.0166666666666667,418,0.91866028708134,0.51
593,"Guadalupe ES",2,"859 Prague St, San Francisco, CA",0.850081805687753,162.797619,279,229,253,0.82078853046595,0.906810035842294,83,1,99,0.74,69,0.989,60,47,59,54,-50.1,-63.1,8.2,9.1,0.015,0.019,0.017,16,1,15,0,0.03125,418,0.667464114832536,0.16
453,"Harte (Bret) ES",2,"1035 Gilman Ave, San Francisco, CA",0.965134143656817,81.33874239,247,220,240,0.890688259109312,0.97165991902834,80,0.825,93,0.131,69,0.889,62,52,48,51,-105.9,-109.7,10.2,12.6,0.015,0.011,0.013,20,0,20,0,0,572,0.431818181818182,0.4
